tournament,year,match_name,match_date,stage_name,group_name,group_stage,knockout_stage,replayed,replay
FIFA Men's World Cup,1954,Austria vs Switzerland,1954-06-26,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1954,Uruguay vs England,1954-06-26,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1954,Hungary vs Brazil,1954-06-27,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1954,West Germany vs Yugoslavia,1954-06-27,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1954,Hungary vs Uruguay,1954-06-30,semi-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1954,West Germany vs Austria,1954-06-30,semi-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1954,Austria vs Uruguay,1954-07-03,third-place match,not applicable,0,1,0,0
FIFA Men's World Cup,1954,West Germany vs Hungary,1954-07-04,final,not applicable,0,1,0,0
FIFA Men's World Cup,1958,Argentina vs West Germany,1958-06-08,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1958,Brazil vs Austria,1958-06-08,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1958,France vs Paraguay,1958-06-08,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1958,Hungary vs Wales,1958-06-08,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1958,Northern Ireland vs Czechoslovakia,1958-06-08,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1958,Soviet Union vs England,1958-06-08,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1958,Sweden vs Mexico,1958-06-08,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1958,Yugoslavia vs Scotland,1958-06-08,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1958,Argentina vs Northern Ireland,1958-06-11,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1958,Brazil vs England,1958-06-11,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1958,Mexico vs Wales,1958-06-11,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1958,Paraguay vs Scotland,1958-06-11,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1958,Soviet Union vs Austria,1958-06-11,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1958,West Germany vs Czechoslovakia,1958-06-11,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1958,Yugoslavia vs France,1958-06-11,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1958,Sweden vs Hungary,1958-06-12,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1958,Brazil vs Soviet Union,1958-06-15,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1958,Czechoslovakia vs Argentina,1958-06-15,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1958,England vs Austria,1958-06-15,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1958,France vs Scotland,1958-06-15,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1958,Hungary vs Mexico,1958-06-15,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1958,Paraguay vs Yugoslavia,1958-06-15,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1958,Sweden vs Wales,1958-06-15,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1958,West Germany vs Northern Ireland,1958-06-15,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1958,Northern Ireland vs Czechoslovakia,1958-06-17,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1958,Soviet Union vs England,1958-06-17,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1958,Wales vs Hungary,1958-06-17,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1958,Brazil vs Wales,1958-06-19,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1958,France vs Northern Ireland,1958-06-19,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1958,Sweden vs Soviet Union,1958-06-19,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1958,West Germany vs Yugoslavia,1958-06-19,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1958,Brazil vs France,1958-06-24,semi-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1958,Sweden vs West Germany,1958-06-24,semi-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1958,France vs West Germany,1958-06-28,third-place match,not applicable,0,1,0,0
FIFA Men's World Cup,1958,Brazil vs Sweden,1958-06-29,final,not applicable,0,1,0,0
FIFA Men's World Cup,1962,Argentina vs Bulgaria,1962-05-30,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1962,Brazil vs Mexico,1962-05-30,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1962,Chile vs Switzerland,1962-05-30,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1962,Uruguay vs Colombia,1962-05-30,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1962,Czechoslovakia vs Spain,1962-05-31,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1962,Hungary vs England,1962-05-31,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1962,Soviet Union vs Yugoslavia,1962-05-31,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1962,West Germany vs Italy,1962-05-31,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1962,Brazil vs Czechoslovakia,1962-06-02,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1962,Chile vs Italy,1962-06-02,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1962,England vs Argentina,1962-06-02,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1962,Yugoslavia vs Uruguay,1962-06-02,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1962,Hungary vs Bulgaria,1962-06-03,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1962,Soviet Union vs Colombia,1962-06-03,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1962,Spain vs Mexico,1962-06-03,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1962,West Germany vs Switzerland,1962-06-03,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1962,Brazil vs Spain,1962-06-06,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1962,Hungary vs Argentina,1962-06-06,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1962,Soviet Union vs Uruguay,1962-06-06,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1962,West Germany vs Chile,1962-06-06,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1962,England vs Bulgaria,1962-06-07,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1962,Italy vs Switzerland,1962-06-07,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1962,Mexico vs Czechoslovakia,1962-06-07,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1962,Yugoslavia vs Colombia,1962-06-07,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1962,Brazil vs England,1962-06-10,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1962,Chile vs Soviet Union,1962-06-10,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1962,Czechoslovakia vs Hungary,1962-06-10,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1962,Yugoslavia vs West Germany,1962-06-10,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1962,Brazil vs Chile,1962-06-13,semi-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1962,Czechoslovakia vs Yugoslavia,1962-06-13,semi-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1962,Chile vs Yugoslavia,1962-06-16,third-place match,not applicable,0,1,0,0
FIFA Men's World Cup,1962,Brazil vs Czechoslovakia,1962-06-17,final,not applicable,0,1,0,0
FIFA Men's World Cup,1966,England vs Uruguay,1966-07-11,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1966,Brazil vs Bulgaria,1966-07-12,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1966,Soviet Union vs North Korea,1966-07-12,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1966,West Germany vs Switzerland,1966-07-12,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1966,Argentina vs Spain,1966-07-13,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1966,France vs Mexico,1966-07-13,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1966,Italy vs Chile,1966-07-13,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1966,Portugal vs Hungary,1966-07-13,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1966,Chile vs North Korea,1966-07-15,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1966,Hungary vs Brazil,1966-07-15,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1966,Spain vs Switzerland,1966-07-15,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1966,Uruguay vs France,1966-07-15,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1966,Argentina vs West Germany,1966-07-16,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1966,England vs Mexico,1966-07-16,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1966,Portugal vs Bulgaria,1966-07-16,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1966,Soviet Union vs Italy,1966-07-16,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1966,Argentina vs Switzerland,1966-07-19,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1966,Mexico vs Uruguay,1966-07-19,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1966,North Korea vs Italy,1966-07-19,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1966,Portugal vs Brazil,1966-07-19,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1966,England vs France,1966-07-20,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1966,Hungary vs Bulgaria,1966-07-20,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1966,Soviet Union vs Chile,1966-07-20,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1966,West Germany vs Spain,1966-07-20,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1966,England vs Argentina,1966-07-23,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1966,Portugal vs North Korea,1966-07-23,quarter-finals,not applicable,0,1,0,0
