year,stage_number,stage_name,group_name,position,team_name,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,advanced
1974,1,first group stage,Group 3,3,Bulgaria,3,0,2,1,2,5,-3,2,0
1974,1,first group stage,Group 3,4,Uruguay,3,0,1,2,1,6,-5,1,0
1974,1,first group stage,Group 4,1,Poland,3,3,0,0,12,3,9,6,1
1974,1,first group stage,Group 4,2,Argentina,3,1,1,1,7,5,2,3,1
1974,1,first group stage,Group 4,3,Italy,3,1,1,1,5,4,1,3,0
1974,1,first group stage,Group 4,4,Haiti,3,0,0,3,2,14,-12,0,0
1974,2,second group stage,Group A,1,Netherlands,3,3,0,0,8,0,8,6,1
1974,2,second group stage,Group A,2,Brazil,3,2,0,1,3,3,0,4,1
1974,2,second group stage,Group A,3,East Germany,3,0,1,2,1,4,-3,1,0
1974,2,second group stage,Group A,4,Argentina,3,0,1,2,2,7,-5,1,0
1974,2,second group stage,Group B,1,West Germany,3,3,0,0,7,2,5,6,1
1974,2,second group stage,Group B,2,Poland,3,2,0,1,3,2,1,4,1
1974,2,second group stage,Group B,3,Sweden,3,1,0,2,4,6,-2,2,0
1974,2,second group stage,Group B,4,Yugoslavia,3,0,0,3,2,6,-4,0,0
1978,1,first group stage,Group 1,1,Italy,3,3,0,0,6,2,4,6,1
1978,1,first group stage,Group 1,2,Argentina,3,2,0,1,4,3,1,4,1
1978,1,first group stage,Group 1,3,France,3,1,0,2,5,5,0,2,0
1978,1,first group stage,Group 1,4,Hungary,3,0,0,3,3,8,-5,0,0
1978,1,first group stage,Group 2,1,Poland,3,2,1,0,4,1,3,5,1
1978,1,first group stage,Group 2,2,West Germany,3,1,2,0,6,0,6,4,1
1978,1,first group stage,Group 2,3,Tunisia,3,1,1,1,3,2,1,3,0
1978,1,first group stage,Group 2,4,Mexico,3,0,0,3,2,12,-10,0,0
1978,1,first group stage,Group 3,1,Austria,3,2,0,1,3,2,1,4,1
1978,1,first group stage,Group 3,2,Brazil,3,1,2,0,2,1,1,4,1
1978,1,first group stage,Group 3,3,Spain,3,1,1,1,2,2,0,3,0
1978,1,first group stage,Group 3,4,Sweden,3,0,1,2,1,3,-2,1,0
1978,1,first group stage,Group 4,1,Peru,3,2,1,0,7,2,5,5,1
1978,1,first group stage,Group 4,2,Netherlands,3,1,1,1,5,3,2,3,1
1978,1,first group stage,Group 4,3,Scotland,3,1,1,1,5,6,-1,3,0
1978,1,first group stage,Group 4,4,Iran,3,0,1,2,2,8,-6,1,0
1978,2,second group stage,Group A,1,Netherlands,3,2,1,0,9,4,5,5,1
1978,2,second group stage,Group A,2,Italy,3,1,1,1,2,2,0,3,1
1978,2,second group stage,Group A,3,West Germany,3,0,2,1,4,5,-1,2,0
1978,2,second group stage,Group A,4,Austria,3,1,0,2,4,8,-4,2,0
1978,2,second group stage,Group B,1,Argentina,3,2,1,0,8,0,8,5,1
1978,2,second group stage,Group B,2,Brazil,3,2,1,0,6,1,5,5,1
1978,2,second group stage,Group B,3,Poland,3,1,0,2,2,5,-3,2,0
1978,2,second group stage,Group B,4,Peru,3,0,0,3,0,10,-10,0,0
1982,1,first group stage,Group 1,1,Poland,3,1,2,0,5,1,4,4,1
1982,1,first group stage,Group 1,2,Italy,3,0,3,0,2,2,0,3,1
1982,1,first group stage,Group 1,3,Cameroon,3,0,3,0,1,1,0,3,0
1982,1,first group stage,Group 1,4,Peru,3,0,2,1,2,6,-4,2,0
