year,stage_number,stage_name,group_name,position,team_name,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,advanced
1966,1,group stage,Group 1,1,England,3,2,1,0,4,0,4,5,1
1966,1,group stage,Group 1,2,Uruguay,3,1,2,0,2,1,1,4,1
1966,1,group stage,Group 1,3,Mexico,3,0,2,1,1,3,-2,2,0
1966,1,group stage,Group 1,4,France,3,0,1,2,2,5,-3,1,0
1966,1,group stage,Group 2,1,West Germany,3,2,1,0,7,1,6,5,1
1966,1,group stage,Group 2,2,Argentina,3,2,1,0,4,1,3,5,1
1966,1,group stage,Group 2,3,Spain,3,1,0,2,4,5,-1,2,0
1966,1,group stage,Group 2,4,Switzerland,3,0,0,3,1,9,-8,0,0
1966,1,group stage,Group 3,1,Portugal,3,3,0,0,9,2,7,6,1
1966,1,group stage,Group 3,2,Hungary,3,2,0,1,7,5,2,4,1
1966,1,group stage,Group 3,3,Brazil,3,1,0,2,4,6,-2,2,0
1966,1,group stage,Group 3,4,Bulgaria,3,0,0,3,1,8,-7,0,0
1966,1,group stage,Group 4,1,Soviet Union,3,3,0,0,6,1,5,6,1
1966,1,group stage,Group 4,2,North Korea,3,1,1,1,2,4,-2,3,1
1966,1,group stage,Group 4,3,Italy,3,1,0,2,2,2,0,2,0
1966,1,group stage,Group 4,4,Chile,3,0,1,2,2,5,-3,1,0
1970,1,group stage,Group 1,1,Soviet Union,3,2,1,0,6,1,5,5,1
1970,1,group stage,Group 1,2,Mexico,3,2,1,0,5,0,5,5,1
1970,1,group stage,Group 1,3,Belgium,3,1,0,2,4,5,-1,2,0
1970,1,group stage,Group 1,4,El Salvador,3,0,0,3,0,9,-9,0,0
1970,1,group stage,Group 2,1,Italy,3,1,2,0,1,0,1,4,1
1970,1,group stage,Group 2,2,Uruguay,3,1,1,1,2,1,1,3,1
1970,1,group stage,Group 2,3,Sweden,3,1,1,1,2,2,0,3,0
1970,1,group stage,Group 2,4,Israel,3,0,2,1,1,3,-2,2,0
1970,1,group stage,Group 3,1,Brazil,3,3,0,0,8,3,5,6,1
1970,1,group stage,Group 3,2,England,3,2,0,1,2,1,1,4,1
1970,1,group stage,Group 3,3,Romania,3,1,0,2,4,5,-1,2,0
1970,1,group stage,Group 3,4,Czechoslovakia,3,0,0,3,2,7,-5,0,0
1970,1,group stage,Group 4,1,West Germany,3,3,0,0,10,4,6,6,1
1970,1,group stage,Group 4,2,Peru,3,2,0,1,7,5,2,4,1
1970,1,group stage,Group 4,3,Bulgaria,3,0,1,2,5,9,-4,1,0
1970,1,group stage,Group 4,4,Morocco,3,0,1,2,2,6,-4,1,0
1974,1,first group stage,Group 1,1,East Germany,3,2,1,0,4,1,3,5,1
1974,1,first group stage,Group 1,2,West Germany,3,2,0,1,4,1,3,4,1
1974,1,first group stage,Group 1,3,Chile,3,0,2,1,1,2,-1,2,0
1974,1,first group stage,Group 1,4,Australia,3,0,1,2,0,5,-5,1,0
1974,1,first group stage,Group 2,1,Yugoslavia,3,1,2,0,10,1,9,4,1
1974,1,first group stage,Group 2,2,Brazil,3,1,2,0,3,0,3,4,1
1974,1,first group stage,Group 2,3,Scotland,3,1,2,0,3,1,2,4,0
1974,1,first group stage,Group 2,4,Zaire,3,0,0,3,0,14,-14,0,0
1974,1,first group stage,Group 3,1,Netherlands,3,2,1,0,6,1,5,5,1
1974,1,first group stage,Group 3,2,Sweden,3,1,2,0,3,0,3,4,1
