manager_name,manager_wikipedia_link,given_name,family_name,country_name,female
Ted Copeland,https://en.wikipedia.org/wiki/Ted_Copeland,Ted,Copeland,England,0
Juan Carlos Corazzo,https://en.wikipedia.org/wiki/Juan_Carlos_Corazzo,Juan Carlos,Corazzo,Uruguay,0
Flávio Costa,https://en.wikipedia.org/wiki/Fl%C3%A1vio_Costa,Flávio,Costa,Brazil,0
Cláudio Coutinho,https://en.wikipedia.org/wiki/Cl%C3%A1udio_Coutinho,Cláudio,Coutinho,Brazil,0
Leonardo Cuéllar,https://en.wikipedia.org/wiki/Leonardo_Cu%C3%A9llar,Leonardo,Cuéllar,Mexico,0
Héctor Cúper,https://en.wikipedia.org/wiki/H%C3%A9ctor_C%C3%BAper,Héctor,Cúper,Argentina,0
Lajos Czeizler,https://en.wikipedia.org/wiki/Lajos_Czeizler,Lajos,Czeizler,Hungary,0
Zlatko Dalić,https://en.wikipedia.org/wiki/Zlatko_Dali%C4%87,Zlatko,Dalić,Croatia,0
Píndaro de Carvalho Rodrigues,https://en.wikipedia.org/wiki/P%C3%ADndaro_de_Carvalho_Rodrigues,Píndaro,de Carvalho Rodrigues,Brazil,0
José de la Paz Herrera,https://en.wikipedia.org/wiki/Jos%C3%A9_de_la_Paz_Herrera,José,de la Paz Herrera,Honduras,0
Evaristo de Macedo,https://en.wikipedia.org/wiki/Evaristo_de_Macedo,Evaristo,de Macedo,Brazil,0
Vicente del Bosque,https://en.wikipedia.org/wiki/Vicente_del_Bosque,Vicente,del Bosque,Spain,0
Thomas Dennerby,https://en.wikipedia.org/wiki/Thomas_Dennerby,Thomas,Dennerby,Sweden,0
Jupp Derwall,https://en.wikipedia.org/wiki/Jupp_Derwall,Jupp,Derwall,Germany,0
Didier Deschamps,https://en.wikipedia.org/wiki/Didier_Deschamps,Didier,Deschamps,France,0
Corinne Diacre,https://en.wikipedia.org/wiki/Corinne_Diacre,Corinne,Diacre,France,1
Tony DiCicco,https://en.wikipedia.org/wiki/Tony_DiCicco,Tony,DiCicco,United States,0
Didi,"https://en.wikipedia.org/wiki/Didi_(footballer,_born_1928)",not applicable,Didi,Brazil,0
Károly Dietz,https://en.wikipedia.org/wiki/K%C3%A1roly_Dietz,Károly,Dietz,Hungary,0
Alain Djeumfa,https://en.wikipedia.org/wiki/Alain_Djeumfa,Alain,Djeumfa,Cameroon,0
Peter Doherty,https://en.wikipedia.org/wiki/Peter_Doherty_(footballer),Peter,Doherty,Northern Ireland,0
Marika Domanski-Lyfors,https://en.wikipedia.org/wiki/Marika_Domanski-Lyfors,Marika,Domanski-Lyfors,Sweden,1
Raymond Domenech,https://en.wikipedia.org/wiki/Raymond_Domenech,Raymond,Domenech,France,0
Anson Dorrance,https://en.wikipedia.org/wiki/Anson_Dorrance,Anson,Dorrance,United States,0
Ratomir Dujković,https://en.wikipedia.org/wiki/Ratomir_Dujkovi%C4%87,Ratomir,Dujković,Serbia,0
Dunga,https://en.wikipedia.org/wiki/Dunga,not applicable,Dunga,Brazil,0
José Durand Laguna,https://en.wikipedia.org/wiki/Jos%C3%A9_Durand_Laguna,José,Durand Laguna,Argentina,0
Ntiero Effiom,https://en.wikipedia.org/wiki/Ntiero_Effiom,Ntiero,Effiom,Nigeria,0
Guillermo Eizaguirre,https://en.wikipedia.org/wiki/Guillermo_Eizaguirre,Guillermo,Eizaguirre,Spain,0
Desiree Ellis,https://en.wikipedia.org/wiki/Desiree_Ellis,Desiree,Ellis,South Africa,1
Jill Ellis,https://en.wikipedia.org/wiki/Jill_Ellis,Jill,Ellis,United States,1
Jerzy Engel,https://en.wikipedia.org/wiki/Jerzy_Engel,Jerzy,Engel,Poland,0
Carl Enow,https://en.wikipedia.org/wiki/Carl_Enow,Carl,Enow,Cameroon,0
Luis Enrique,https://en.wikipedia.org/wiki/Luis_Enrique,Luis,Enrique,Spain,0
Georg Ericson,https://en.wikipedia.org/wiki/Georg_Ericson,Georg,Ericson,Sweden,0
Sven-Göran Eriksson,https://en.wikipedia.org/wiki/Sven-G%C3%B6ran_Eriksson,Sven-Göran,Eriksson,Sweden,0
Edmondo Fabbri,https://en.wikipedia.org/wiki/Edmondo_Fabbri,Edmondo,Fabbri,Italy,0
