referee_name,referee_wikipedia_link,given_name,family_name,female,country_name,confederation_code
Bola Elizabeth Abidoye,not available,Bola Elizabeth,Abidoye,1,Nigeria,CAF
Branko Tesanić,not available,Branko,Tesanić,0,Yugoslavia,UEFA
Brian Hall,https://en.wikipedia.org/wiki/Brian_Hall_(referee),Brian,Hall,0,United States,CONCACAF
Bruno Galler,https://en.wikipedia.org/wiki/Bruno_Galler,Bruno,Galler,0,Switzerland,UEFA
Byron Moreno,https://en.wikipedia.org/wiki/Byron_Moreno,Byron,Moreno,0,Ecuador,CONMEBOL
Carina Vitulano,https://en.wikipedia.org/wiki/Carina_Vitulano,Carina,Vitulano,1,Italy,UEFA
Carl Jørgensen,not available,Carl,Jørgensen,0,Denmark,UEFA
Carl Erich Steiner,not available,Carl Erich,Steiner,0,Austria,UEFA
Carlos Amarilla,https://en.wikipedia.org/wiki/Carlos_Amarilla,Carlos,Amarilla,0,Paraguay,CONMEBOL
Carlos Espósito,https://en.wikipedia.org/wiki/Carlos_Esp%C3%B3sito,Carlos,Espósito,0,Argentina,CONMEBOL
Carlos Maciel,https://en.wikipedia.org/wiki/Carlos_Maciel,Carlos,Maciel,0,Paraguay,CONMEBOL
Carlos Robles,not available,Carlos,Robles,0,Chile,CONMEBOL
Carlos Silva Valente,https://en.wikipedia.org/wiki/Carlos_Silva_Valente,Carlos,Silva Valente,0,Portugal,UEFA
Carlos Velasco Carballo,https://en.wikipedia.org/wiki/Carlos_Velasco_Carballo,Carlos,Velasco Carballo,0,Spain,UEFA
Carlos Vera,https://en.wikipedia.org/wiki/Carlos_Vera,Carlos,Vera,0,Ecuador,CONMEBOL
Carlos Alberto Batres,https://en.wikipedia.org/wiki/Carlos_Alberto_Batres,Carlos Alberto,Batres,0,Guatemala,CONCACAF
Carlos Eugênio Simon,https://en.wikipedia.org/wiki/Carlos_Eug%C3%AAnio_Simon,Carlos Eugênio,Simon,0,Brazil,CONMEBOL
Carol Anne Chenard,not available,Carol Anne,Chenard,1,Canada,CONCACAF
Casey Reibelt,https://en.wikipedia.org/wiki/Casey_Reibelt,Casey,Reibelt,1,Australia,AFC
Catherine Leann Hepburn,not available,Catherine Leann,Hepburn,1,United States,CONCACAF
César Guerrero Orosco,not available,César,Guerrero Orosco,0,Peru,CONMEBOL
César Arturo Ramos,https://en.wikipedia.org/wiki/C%C3%A9sar_Arturo_Ramos,César Arturo,Ramos,0,Mexico,CONCACAF
Cesare Jonni,https://en.wikipedia.org/wiki/Cesare_Jonni,Cesare,Jonni,0,Italy,UEFA
Charles Corver,https://en.wikipedia.org/wiki/Charles_Corver,Charles,Corver,0,Netherlands,UEFA
Charlie Faultless,not available,Charlie,Faultless,0,Scotland,UEFA
Chris Bambridge,https://en.wikipedia.org/wiki/Chris_Bambridge,Chris,Bambridge,0,Australia,AFC
Chris Beath,https://en.wikipedia.org/wiki/Chris_Beath,Chris,Beath,0,Australia,AFC
Christina Pedersen,https://en.wikipedia.org/wiki/Christina_Pedersen_(referee),Christina,Pedersen,1,Norway,UEFA
Christine Beck,https://en.wikipedia.org/wiki/Christine_Baitinger,Christine,Beck,1,Germany,UEFA
Claudia Umpiérrez,https://en.wikipedia.org/wiki/Claudia_Umpi%C3%A9rrez,Claudia,Umpiérrez,1,Uruguay,CONMEBOL
Cláudia Vasconcelos,https://en.wikipedia.org/wiki/Cl%C3%A1udia_Vasconcelos,Cláudia,Vasconcelos,1,Brazil,CONMEBOL
Clément Turpin,https://en.wikipedia.org/wiki/Cl%C3%A9ment_Turpin,Clément,Turpin,0,France,UEFA
Clive Thomas,https://en.wikipedia.org/wiki/Clive_Thomas_(football),Clive,Thomas,0,Wales,UEFA
Clive White,https://en.wikipedia.org/wiki/Clive_White,Clive,White,0,England,UEFA
Coffi Codjia,https://en.wikipedia.org/wiki/Coffi_Codjia,Coffi,Codjia,0,Benin,AFC
Concetto Lo Bello,https://en.wikipedia.org/wiki/Concetto_Lo_Bello,Concetto,Lo Bello,0,Italy,UEFA
Cristina Ionescu,not available,Cristina,Ionescu,1,Romania,UEFA
Cüneyt Çakır,https://en.wikipedia.org/wiki/C%C3%BCneyt_%C3%87ak%C4%B1r,Cüneyt,Çakır,0,Turkey,UEFA
Dagmar Damková,https://en.wikipedia.org/wiki/Dagmar_Damkov%C3%A1,Dagmar,Damková,1,Czech Republic,UEFA
Damir Matovinović,https://en.wikipedia.org/wiki/Damir_Matovinovi%C4%87,Damir,Matovinović,0,Yugoslavia,UEFA
Damir Skomina,https://en.wikipedia.org/wiki/Damir_Skomina,Damir,Skomina,0,Slovenia,UEFA
Daniel Siebert,https://en.wikipedia.org/wiki/Daniel_Siebert_(referee),Daniel,Siebert,0,Germany,UEFA
Daniele Orsato,https://en.wikipedia.org/wiki/Daniele_Orsato,Daniele,Orsato,0,Italy,UEFA
Danny Makkelie,https://en.wikipedia.org/wiki/Danny_Makkelie,Danny,Makkelie,0,Netherlands,UEFA
David Socha,https://en.wikipedia.org/wiki/David_Socha,David,Socha,0,United States,CONCACAF
Dianne Ferreira-James,not available,Dianne,Ferreira-James,1,Guyana,CONCACAF
Diego De Leo,https://en.wikipedia.org/wiki/Diego_De_Leo,Diego,De Leo,0,Mexico,CONCACAF
Dimitar Rumenchev,not available,Dimitar,Rumenchev,0,Bulgaria,UEFA
Djamel Haimoudi,https://en.wikipedia.org/wiki/Djamel_Haimoudi,Djamel,Haimoudi,0,Algeria,CAF
Doğan Babacan,https://en.wikipedia.org/wiki/Do%C4%9Fan_Babacan,Doğan,Babacan,0,Turkey,UEFA
Domingo Lombardi,not available,Domingo,Lombardi,0,Uruguay,CONMEBOL
Zhang Dongqing,not available,Dongqing,Zhang,1,China,AFC
Dušan Maksimović,not available,Dušan,Maksimović,0,Yugoslavia,UEFA
Eddie Lennie,https://en.wikipedia.org/wiki/Eddie_Lennie,Eddie,Lennie,0,Australia,AFC
Eddy Maillet,https://en.wikipedia.org/wiki/Eddy_Maillet,Eddy,Maillet,0,Seychelles,CAF
Edgardo Codesal,https://en.wikipedia.org/wiki/Edgardo_Codesal,Edgardo,Codesal,0,Mexico,CONCACAF
Edina Alves Batista,https://en.wikipedia.org/wiki/Edina_Alves_Batista,Edina,Alves Batista,1,Brazil,CONMEBOL
Edison Peréz Núñez,not available,Edison,Peréz Núñez,0,Peru,CONMEBOL
Eduardo Gamboa,not available,Eduardo,Gamboa,0,Chile,CONMEBOL
Edwin Picon-Ackong,https://en.wikipedia.org/wiki/Edwin_Picon-Ackong,Edwin,Picon-Ackong,0,Mauritius,CAF
Efthalia Mitsi,not available,Efthalia,Mitsi,1,Greece,UEFA
Elías Jácome,https://en.wikipedia.org/wiki/El%C3%ADas_J%C3%A1come,Elías,Jácome,0,Ecuador,CONMEBOL
Elke Günthner,not available,Elke,Günthner,1,Germany,UEFA
Emil Schmetzer,not available,Emil,Schmetzer,0,West Germany,UEFA
Emilio Soriano Aladrén,https://en.wikipedia.org/wiki/Emilio_Soriano_Aladr%C3%A9n,Emilio,Soriano Aladrén,0,Spain,UEFA
Engage Camara,not available,Engage,Camara,0,Guinea,CAF
Enrique Cáceres,https://en.wikipedia.org/wiki/Enrique_C%C3%A1ceres,Enrique,Cáceres,0,Paraguay,CONMEBOL
Enrique Labo Revoredo,https://en.wikipedia.org/wiki/Enrique_Labo_Revoredo,Enrique,Labo Revoredo,0,Peru,CONMEBOL
Enrique Osses,https://en.wikipedia.org/wiki/Enrique_Osses,Enrique,Osses,0,Chile,CONMEBOL
Epifanio González,https://en.wikipedia.org/wiki/Epifanio_Gonz%C3%A1lez,Epifanio,González,0,Paraguay,CONMEBOL
Éric Poulat,https://en.wikipedia.org/wiki/%C3%89ric_Poulat,Éric,Poulat,0,France,UEFA
Erich Linemayr,https://en.wikipedia.org/wiki/Erich_Linemayr,Erich,Linemayr,0,Austria,UEFA
Erik Fredriksson,https://en.wikipedia.org/wiki/Erik_Fredriksson,Erik,Fredriksson,0,Sweden,UEFA
Esfandiar Baharmast,https://en.wikipedia.org/wiki/Esfandiar_Baharmast,Esfandiar,Baharmast,0,United States,CONCACAF
Essam Abd El Fatah,https://en.wikipedia.org/wiki/Essam_Abd_El_Fatah,Essam,Abdel-Fatah,0,Egypt,CAF
Esteban Marino,https://en.wikipedia.org/wiki/Esteban_Marino,Esteban,Marino,0,Uruguay,CONMEBOL
Estela Álvarez,not available,Estela,Álvarez,1,Argentina,CONMEBOL
Esther Staubli,https://en.wikipedia.org/wiki/Esther_Staubli,Esther,Staubli,1,Switzerland,UEFA
Etsuko Fukano,not available,Etsuko,Fukano,1,Japan,AFC
Eugen Braun,not available,Eugen,Braun,0,Austria,UEFA
Im Eun-ju,https://en.wikipedia.org/wiki/Im_Eun-ju,Eun-ju,Im,1,South Korea,AFC
Eva Ödlund,not available,Eva,Ödlund,1,Sweden,UEFA
Fabio Baldas,https://en.wikipedia.org/wiki/Fabio_Baldas,Fabio,Baldas,0,Italy,UEFA
Facundo Tello,https://en.wikipedia.org/wiki/Facundo_Tello,Facundo,Tello,0,Argentina,CONMEBOL
Falla N'Doye,https://en.wikipedia.org/wiki/Falla_N%27Doye,Falla,N'Doye,0,Senegal,CAF
Fallaj Al Shanar,https://en.wikipedia.org/wiki/Fallaj_Al_Shanar,Fallaj,Al-Shanar,0,Saudi Arabia,AFC
Farouk Bouzo,https://en.wikipedia.org/wiki/Farouk_Bouzo,Farouk,Bouzo,0,Syria,AFC
Fatou Gaye,not available,Fatou,Gaye,1,Senegal,CAF
Felipe Ramos,https://en.wikipedia.org/wiki/Felipe_Ramos,Felipe,Ramos,0,Mexico,CONCACAF
