team_name,player_name,given_name,family_name,player_wikipedia_link
Colombia,Andrea Peralta,Andrea,Peralta,https://en.wikipedia.org/wiki/Andrea_Peralta
Spain,Andrea Pereira,Andrea,Pereira,https://en.wikipedia.org/wiki/Andrea_Pereira
Mexico,Andrea Rodebaugh,Andrea,Rodebaugh,https://en.wikipedia.org/wiki/Andrea_Rodebaugh
Ecuador,Andrea Vera,Andrea,Vera,https://en.wikipedia.org/wiki/Andrea_Vera
Brazil,Andréia,not applicable,Andréia,https://en.wikipedia.org/wiki/Andr%C3%A9ia_Suntaque
Brazil,Andressa Alves,Andressa,Alves,https://en.wikipedia.org/wiki/Andressa_Alves
Brazil,Andressa Alves,Andressa,Alves,https://en.wikipedia.org/wiki/Andressa_Alves_da_Silva
Brazil,Andressinha,not applicable,Andressinha,https://en.wikipedia.org/wiki/Andressinha
Norway,Ane Stangeland Horpestad,Ane,Stangeland Horpestad,https://en.wikipedia.org/wiki/Ane_Stangeland_Horpestad
Sweden,Anette Hansson,Anette,Hansson,https://en.wikipedia.org/wiki/Anette_Hansson
Norway,Anette Igland,Anette,Igland,https://en.wikipedia.org/wiki/Anette_Igland
Ivory Coast,Ange N'Guessan,Ange,N'Guessan,https://en.wikipedia.org/wiki/Ange_N%27Guessan
Netherlands,Angela Christ,Angela,Christ,https://en.wikipedia.org/wiki/Angela_Christ
Colombia,Ángela Clavijo,Ángela,Clavijo,https://en.wikipedia.org/wiki/%C3%81ngela_Clavijo
United States,Angela Hucles,Angela,Hucles,https://en.wikipedia.org/wiki/Angela_Hucles
Australia,Angela Iannotta,Angela,Iannotta,https://en.wikipedia.org/wiki/Angela_Iannotta
Canada,Angela Kelly,Angela,Kelly,https://en.wikipedia.org/wiki/Angela_Kelly_(soccer)
Ecuador,Angie Ponce,Angie,Ponce,https://en.wikipedia.org/wiki/Angie_Ponce
Sweden,Anika Bozicevic,Anika,Bozicevic,https://en.wikipedia.org/wiki/Anika_Bozicevic
Mexico,Anisa Guajardo,Anisa,Guajardo,https://en.wikipedia.org/wiki/Anisa_Guajardo
Australia,Anissa Tann,Anissa,Tann,https://en.wikipedia.org/wiki/Anissa_Tann
Ghana,Anita Amankwa,Anita,Amankwa,https://en.wikipedia.org/wiki/Anita_Amankwa
Ghana,Anita Amenuku,Anita,Amenuku,https://en.wikipedia.org/wiki/Anita_Amenuku
England,Anita Asante,Anita,Asante,https://en.wikipedia.org/wiki/Anita_Asante
Norway,Anita Rapp,Anita,Rapp,https://en.wikipedia.org/wiki/Anita_Rapp
Norway,Anita Waage,Anita,Waage,https://en.wikipedia.org/wiki/Anita_Waage
Germany,Anja Mittag,Anja,Mittag,https://en.wikipedia.org/wiki/Anja_Mittag
Norway,Anja Sønstevold,Anja,Sønstevold,https://en.wikipedia.org/wiki/Anja_S%C3%B8nstevold
Nigeria,Ann Chiejine,Ann,Chiejine,https://en.wikipedia.org/wiki/Ann_Chiejine
Norway,Ann Kristin Aarønes,Ann Kristin,Aarønes,https://en.wikipedia.org/wiki/Ann_Kristin_Aar%C3%B8nes
Nigeria,Ann Mukoro,Ann,Mukoro,https://en.wikipedia.org/wiki/Ann_Mukoro
Sweden,Anna Anvegård,Anna,Anvegård,https://en.wikipedia.org/wiki/Anna_Anveg%C3%A5rd
Italy,Anna Duò,Anna,Duò,https://en.wikipedia.org/wiki/Anna_Du%C3%B2
New Zealand,Anna Green,Anna,Green,https://en.wikipedia.org/wiki/Anna_Green_(footballer)
Italy,Anna Mega,Anna,Mega,https://en.wikipedia.org/wiki/Anna_Mega
Sweden,Anna Paulson,Anna,Paulson,https://en.wikipedia.org/wiki/Anna_Paulson_(footballer)
Sweden,Anna Pohjanen,Anna,Pohjanen,https://en.wikipedia.org/wiki/Anna_Pohjanen
Sweden,Anna Sjöström,Anna,Sjöström,https://en.wikipedia.org/wiki/Anna_Sj%C3%B6str%C3%B6m
France,Annaïg Butel,Annaïg,Butel,https://en.wikipedia.org/wiki/Anna%C3%AFg_Butel
New Zealand,Annalie Longo,Annalie,Longo,https://en.wikipedia.org/wiki/Annalie_Longo
Italy,Annamaria Serturini,Annamaria,Serturini,https://en.wikipedia.org/wiki/Annamaria_Serturini
